,text,cleaned_text,topics
778,"So, organised #corruption starts from Monday again! 

Government clears 26th tranche of electoral bonds; sale from Monday

#ElectoralBonds #Karnataka #ModihaiTomumkinhai 

https://t.co/A1theEKVLd https://t.co/1Rt5d0vVrq",so organised corruption starts from monday again government clears th tranche of electoral bonds sale from monday electoralbonds karnataka modihaitomumkinhai ,"[2, 3, 5]"
779,"Lobbying ≠ Bribery. Donations can blur the line, but they're vastly different. Check out our article to understand the importance of distinguishing between them #corruption #politics #ethics
https://t.co/l53NTkpXLn",lobbying bribery donations can blur the line but they re vastly different check out our article to understand the importance of distinguishing between them corruption politics ethics ,"[0, 2, 4]"
780,Mark Ridley-Thomas Found Guilty Of Bribery And Conspiracy | LAist - Badd-Luck! BADDBOY news ⁦@NewsBaddboy⁩  https://t.co/h4Nc4UiOXL,mark ridley thomas found guilty of bribery and conspiracy laist badd luck baddboy news ,[2]
781,"Let's be clear: the laws broken by Donald Trump were put in place to prevent corruption and ensure transparency. Trump and his co-conspirators must be held accountable. Our nation succeeds when we have a thriving democracy, and that requires accountability.https://t.co/8rJ2PjyAxq",let be clear the laws broken by donald trump were put in place to prevent corruption and ensure transparency trump and his co conspirators must be held accountable our nation succeeds when we have thriving democracy and that requires accountability ,"[2, 4]"
782,"To me, Otto Warnbier and #JulianAssange are the same - victims of politics and corruption.",to me otto warnbier and julianassange are the same victims of politics and corruption ,[2]
783,"Longtime Los Angeles politician found guilty of corruption to get his son a scholarship, teaching job https://t.co/Whhw5K45yY #FoxNews",longtime los angeles politician found guilty of corruption to get his son scholarship teaching job foxnews,"[2, 5]"
784,"The Biden administration has criminalized American politics:

April 28, 2021: Seized Rudy Giuliani's cellphones.

June 24: Raided George Dixon making Joe Biden corruption documentary.

Nov. 6: Raided James O'keefe for reporting on Ashley's diary.

Nov. 15: Arrest Steve Bannon for… https://t.co/ZbgoWqAIFs",the biden administration has criminalized american politics april seized rudy giuliani cellphones june raided george dixon making joe biden corruption documentary nov raided james keefe for reporting on ashley diary nov arrest steve bannon for ,"[2, 4]"
785,"Chief Justice Umar Ata Bandial Is Writing A New Chapter For Pakistan's S... https://t.co/f6510EtrNr via @YouTube 
NS, NOON Sicilian mafia is the pioneer of almost all evils in politics of Pakistan. Like CHANGA MANGA, LIFAFA politics, PLOTs, Corruption, Money laundering so on",chief justice umar ata bandial is writing new chapter for pakistan via ns noon sicilian mafia is the pioneer of almost all evils in politics of pakistan like changa manga lifafa politics plots corruption money laundering so on,[2]
786,"*Being poor is very simple. Just stay where you are and watch all opportunities pass you by.*

*Yesterday you said Tomorrow.*

*WHEN YOU BECOME SO AFRAID TO INVEST INTO YOUR FUTURE, WEALTH BECOMES SO AFRAID OF REACHING YOU*
#GamblingTwiitter #Africa #NigeriaDecides2023 https://t.co/dPEOgIHyNe", being poor is very simple just stay where you are and watch all opportunities pass you by yesterday you said tomorrow when you become so afraid to invest into your future wealth becomes so afraid of reaching you gamblingtwiitter africa nigeriadecides ,"[1, 2, 5]"
787,"I greet unah ooo
Since china  don reject Nigeria loan of $22B ,them don resume to use Nigerian to make money by increasing transport costs and making it worst for the citizens,but God will not shame us amen 🙏🏽 #areafada #NigeriaDecides2023",i greet unah ooo since china don reject nigeria loan of them don resume to use nigerian to make money by increasing transport costs and making it worst for the citizens but god will not shame us amen areafada nigeriadecides,"[0, 2, 3, 4]"
788,"Crossover Prayers to  the Month of April
■ Adoration of the Blessed Sacrament
■ Rosary prayer and prophetic Declarations
■ Special Prayers for business and financial Breakthrough.

#April1 #AprilFoolsDay2023 #TrumpIndictment #DonaldTrump #NigeriaDecides2023 #EluuPee https://t.co/j32ifP1am8",crossover prayers to the month of april adoration of the blessed sacrament rosary prayer and prophetic declarations special prayers for business and financial breakthrough april aprilfoolsday trumpindictment donaldtrump nigeriadecides eluupee ,"[0, 2, 5]"
789,"What I’m Reading: Presidential Indictment Edition 

BY AMANDA TAUB World internal-sub-only-nl, Politics and Government, United States Politics and Government, Democracy (Theory and Philosophy), Corruption (Institutional) Criminal cases against former lea… https://t.co/X5l3R7H4At https://t.co/Ug4BqwJBSK",what reading presidential indictment edition by amanda taub world internal sub only nl politics and government united states politics and government democracy theory and philosophy corruption institutional criminal cases against former lea ,[2]
790,"Shahbaz Sharif PDM Govt. Last Option vs Chief Justice Bandial hearing el... https://t.co/8cIm0eKyJe via @YouTube 
NS, NOON Sicilian mafia is the pioneer of almost all evils in politics of Pakistan. Like CHANGA MANGA, LIFAFA politics, PLOTs, Corruption, Money laundering so on lll",shahbaz sharif pdm govt last option vs chief justice bandial hearing el via ns noon sicilian mafia is the pioneer of almost all evils in politics of pakistan like changa manga lifafa politics plots corruption money laundering so on lll,"[1, 2, 4]"
791,"Saira bano is again on fire when musadiq malik and hamid mir talk agains... https://t.co/6uhpkfIu7k via @YouTube 
NS, NOON Sicilian mafia is the pioneer of almost all evils in politics of Pakistan. Like CHANGA MANGA, LIFAFA politics, PLOTs, Corruption, Money laundering so on",saira bano is again on fire when musadiq malik and hamid mir talk agains via ns noon sicilian mafia is the pioneer of almost all evils in politics of pakistan like changa manga lifafa politics plots corruption money laundering so on,"[2, 4]"
792,"It's like the 305 billion naira given to @inecnigeria to conduct the #NigeriaDecides2023 Elections was for bribe to rig it. That's exactly what it has proven for the #World to see. Shameful!

#DefendDemocracy
#NADECO",it like the billion naira given to to conduct the nigeriadecides elections was for bribe to rig it that exactly what it has proven for the world to see shameful defenddemocracy nadeco,[2]
793,"""New Yorkers who have watched Mr Trump’s ascent alongside mounting allegations of fraud and corruption over decades found a moment of catharsis""🐮🐮
 https://t.co/Xyzf5nkgvV", new yorkers who have watched mr trump ascent alongside mounting allegations of fraud and corruption over decades found moment of catharsis ,"[2, 3]"
794,"#Corruption

Ron DeSantis says he will refuse any extradition request after Trump indictment: 'Questionable circumstances' https://t.co/6STbk1eAyc", corruption ron desantis says he will refuse any extradition request after trump indictment questionable circumstances ,[2]
795,"@GhanaComm  I dream of a Ghana where women's rights are human rights, and where politics is devoid of corruption, thievery and fraudulence. I dream of Ghana where there's hope for our children. I dream of Ghana where the youth must live, not just survive.", dream of ghana where women rights are human rights and where politics is devoid of corruption thievery and fraudulence dream of ghana where there hope for our children dream of ghana where the youth must live not just survive ,"[2, 3]"
796,"It’s March 31, 2023 at 05:30PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/5VFSo66sJJ",it march at pm stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
797,"#DonaldTrump 
Former Democratic City Councilman Mark Ridley-Thomas — a one-time legislator, county supervisor and a fixture in local politics for decades — was found guilty in U.S. District Court of seven felonies, including conspiracy, bribery and fraud.
https://t.co/lJOTaLYVed", donaldtrump former democratic city councilman mark ridley thomas one time legislator county supervisor and fixture in local politics for decades was found guilty in district court of seven felonies including conspiracy bribery and fraud ,"[1, 2, 3]"
798,Former Bank of China chief Liu Liange facing corruption investigation https://t.co/z82euOQ9lv,former bank of china chief liu liange facing corruption investigation ,[2]
799,"Assam CM Himanta Sarma threatens to sue Delhi CM Arvind Kejriwal over corruption allegations @ETPolitics

https://t.co/fgMZsOTeJr

 Download Economic Times App to stay updated with Business News - https://t.co/XbGUBKlVga https://t.co/KVX90zuAZ2",assam cm himanta sarma threatens to sue delhi cm arvind kejriwal over corruption allegations download economic times app to stay updated with business news ,"[1, 2, 5]"
800,"No one does it better than @falzthebahdguy this track, Mr. Yakubu is giving 🤩
https://t.co/wiIOEioFLq

#MrYakubuChallenge #MrYakubu #TimelessAlbum #NigeriaElections2023 #NigeriaDecides2023",no one does it better than this track mr yakubu is giving mryakubuchallenge mryakubu timelessalbum nigeriaelections nigeriadecides,"[2, 3]"
801,"Please RT. 

Rishi Sunak cannot be allowed to get away with this corruption.  https://t.co/yqkyc9XakU",please rt rishi sunak cannot be allowed to get away with this corruption ,"[2, 4]"
802,"We cannot rely on other countries for tech solutions

#nigeriadecides2023 #nigerianelections #bolatinubu #peterobi #apc #pdp #nigerianyouth https://t.co/f1tTUPQHo2",we cannot rely on other countries for tech solutions nigeriadecides nigerianelections bolatinubu peterobi apc pdp nigerianyouth ,"[0, 2]"
803,"🎥 | Spanish PM Pedro Sánchez described the suspended Catalan parliament speaker Laura Borràs corruption affair as ""a flagrant case of breach of duty and misuse of public funds"" and has not specified whether he would pardon her or not. 

More: https://t.co/SRKTSQB0dP https://t.co/RKRyMKRGJ9", spanish pm pedro nchez described the suspended catalan parliament speaker laura borr corruption affair as flagrant case of breach of duty and misuse of public funds and has not specified whether he would pardon her or not more ,[2]
804,"[Gifted article, no paywall] Kushner Firm Got Hundreds of Millions From 2 Persian Gulf Nations

https://t.co/M8u47SxuXM

#jaredkushner #qatar #uae #saudis #corruption #profiteer", gifted article no paywall kushner firm got hundreds of millions from persian gulf nations jaredkushner qatar uae saudis corruption profiteer,"[1, 2]"
805,"Just like his buddy Netanyahu, he can run for office even though his corruption knows no bounds.

https://t.co/Im3tCpTiID",just like his buddy netanyahu he can run for office even though his corruption knows no bounds ,[2]
806,Former Bank of China chief Liu Liange facing corruption investigation https://t.co/f9kpwtfgeg,former bank of china chief liu liange facing corruption investigation ,[2]
807,"Bantu Holomisa has criticised ANC MPs, describing them as “yo-yos” used to protect members when they prevented National Assembly investigations into the Phala Phala matter and Eskom 'corruption'. https://t.co/tMEjFMxVlc",bantu holomisa has criticised anc mps describing them as yo yos used to protect members when they prevented national assembly investigations into the phala phala matter and eskom corruption ,"[2, 3]"
808,"Tops in development with the highest per capita income in the country..

Stays at bottom in corruption among the 13 big states of the country..

This is only possible when Development takes precedence over politics and religion..

In other words, this is only possible with… https://t.co/q9SxsDV1Kn https://t.co/IrAWYEmHKg",tops in development with the highest per capita income in the country stays at bottom in corruption among the big states of the country this is only possible when development takes precedence over politics and religion in other words this is only possible with ,"[2, 3, 4]"
809,I am first Nigerian before identifying with my ethnic group. This is what defines and unifies us as Nigerians. #ProudlyNigerian #AvoidBigots #NigeriaDecides2023 #SayNoToBigots https://t.co/44kuBcslvJ,i am first nigerian before identifying with my ethnic group this is what defines and unifies us as nigerians proudlynigerian avoidbigots nigeriadecides saynotobigots ,"[2, 5]"
810,"It’s March 31, 2023 at 04:29PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/qxq6Jcshcb",it march at pm stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
811,"You fail to provide free, fair and credible elections - Kwankwaso to Buhari  #NigeriaDecides2023 https://t.co/bdgafHSYAF",you fail to provide free fair and credible elections kwankwaso to buhari nigeriadecides ,"[2, 5]"
812,"Kushner Firm Got Hundreds of Millions From 2 Persian Gulf Nations https://t.co/7la47B2Mv9 ""received from the Gulf countries — in the range of $2.5 billion 
#corruption #Qatar #UAE #Saudi",kushner firm got hundreds of millions from persian gulf nations received from the gulf countries in the range of billion corruption qatar uae saudi,"[1, 2]"
813,I know I don’t discuss politics or anything involving political figures but… thank god Trump got indicted. During his presidency of corruption I was getting sick and tired hearing about what he did every single day! Even on days when nothing major isn’t supposed to happen.,i know don discuss politics or anything involving political figures but thank god trump got indicted during his presidency of corruption was getting sick and tired hearing about what he did every single day even on days when nothing major isn supposed to happen ,[2]
814,"'Won’t Bow Down…': PM Modi Attacks Opposition Parties, Says All Those Deep in Corruption...
https://t.co/A0mTALvm4J via NaMo App https://t.co/JjGcxLh0r0", won bow down pm modi attacks opposition parties says all those deep in corruption via namo app ,"[2, 4]"
815,"Why does @MBuhari like disobeying Court orders?
Hasn't the court ordered MNK released? #NigeriaDecides2023",why does like disobeying court orders hasn the court ordered mnk released nigeriadecides,"[2, 3]"
816,It is disgusting how low the Democratic Party will go to try and stop Trump from being in office again one has a question why is it because he was exposing the corruption deceit in politics the people that are supposed to be representing us raping the American people getting rich,it is disgusting how low the democratic party will go to try and stop trump from being in office again one has question why is it because he was exposing the corruption deceit in politics the people that are supposed to be representing us raping the american people getting rich,[2]
817,"Yet more government corruption!
https://t.co/6FBYztktNO",yet more government corruption ,[2]
818,"Do you wonder where your taxes go!
1/  Tory Corruption
2/ Tory Theft
3/ Tory Fraud
4/ Tory Living expenses
5/ Tory cronies
6/ Tory 'Friends'
7/  Tory incompetence
8/  Tory donors
9/  Tory Travel &amp; 2nd Homes
10/ NOT YOU!
https://t.co/YoLIgihGzS",do you wonder where your taxes go tory corruption tory theft tory fraud tory living expenses tory cronies tory friends tory incompetence tory donors tory travel amp nd homes not you ,"[2, 3]"
819,Voices: Trump has lived a life of corruption. Accountability is finally on its way https://t.co/gRnHMyDkqK,voices trump has lived life of corruption accountability is finally on its way ,"[2, 3]"
820,"This is a huge risk by the Democrats who are desperate to hide the Biden corruption, political disasters, abhorrent foreign policy, massive crime - fentanyl - human trafficking, open borders and energy deficiency in this country.  

https://t.co/T9tnALHbLy",this is huge risk by the democrats who are desperate to hide the biden corruption political disasters abhorrent foreign policy massive crime fentanyl human trafficking open borders and energy deficiency in this country ,"[0, 2, 4]"
821,"☔️☔️☔️☔️☔️☔️
#WhoYaGonnaCall 🤷‍♀️

#StockdaleParadox
#StockholmSyndrome
#PlausibleDeniability
#Cahoots
#Corruption
#ProfitsBeforeLives
#Lawfare
#Distress
#NationalDilemma

Sort of like politics 🤦‍♀️😱

#WeAreTheMediaNow

Carry…https://t.co/QLY4wDK4N1 https://t.co/Uaqb72SXEf", whoyagonnacall stockdaleparadox stockholmsyndrome plausibledeniability cahoots corruption profitsbeforelives lawfare distress nationaldilemma sort of like politics wearethemedianow carry ,[2]
822,"https://t.co/xVBGfbco0S
From Anna Hazare’s anti-corruption stage, Sisodia &amp; Jain now in jail. Here’s what other campaigners are up to

When it was launched in 2011, the Anna Hazare campaign — with its key demand for a Jan Lokpal — caught the imagination of lakhs of Indians and", from anna hazare anti corruption stage sisodia amp jain now in jail here what other campaigners are up to when it was launched in the anna hazare campaign with its key demand for jan lokpal caught the imagination of lakhs of indians and,"[2, 4]"
823,"Drugs dialer protesting because there palimenterian not in power,, there journalists olsw😂, its funny this country politics &amp; government office staf and economy media system 100% control 🇮🇳, and its corruption",drugs dialer protesting because there palimenterian not in power there journalists olsw its funny this country politics amp government office staf and economy media system control and its corruption,[2]
824,"It’s March 31, 2023 at 03:31PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/beJiaDmsHS",it march at pm stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
825,"I actually hate that, whenever we go after politicians, it's about their extramarital affairs. That isn't my business. What is my business is actual corruption affecting politics. So can we actually go after that? (No, because it would weaken the legitimacy of the state)",i actually hate that whenever we go after politicians it about their extramarital affairs that isn my business what is my business is actual corruption affecting politics so can we actually go after that no because it would weaken the legitimacy of the state ,"[2, 5]"
826,"Meanwhile in the US the clown show continues, all part of covering up the corruption that has engulfed US politics",meanwhile in the us the clown show continues all part of covering up the corruption that has engulfed us politics,"[2, 3]"
827,"Says a lot about the system:
""American presidents have traduced civil liberties, committed perjury, obstructed justice, and fostered corruption...But never before has anyone who occupied the country’s highest office ... – been criminally indicted.""
https://t.co/3KxDM1Dy2H",says lot about the system american presidents have traduced civil liberties committed perjury obstructed justice and fostered corruption but never before has anyone who occupied the country highest office been criminally indicted ,[2]
828,"The thing that gets me about the Trump indictment is that it's an almost cartoonish episode of the kind of casual corruption that people expect in politics after having watched House of Cards &amp; other such shows.

Yet there's an entire political party committed to defending it.",the thing that gets me about the trump indictment is that it an almost cartoonish episode of the kind of casual corruption that people expect in politics after having watched house of cards amp other such shows yet there an entire political party committed to defending it ,[2]
829,Former Bank of China chief Liu Lange facing corruption investigation  https://t.co/ra48UjOnSh,former bank of china chief liu lange facing corruption investigation ,[2]
830,Mark Ridley-Thomas Found Guilty Of Bribery And Conspiracy https://t.co/0AN1eNGKC1,mark ridley thomas found guilty of bribery and conspiracy ,[2]
831,"#InterestingDPs

Eye wey dey cry dey see road.

#coverphoto 

#TIMELESS #davido #Wizkidfc #MrYakubu #mbappe #Wizkid #falz #BolaAhmedTinubu #mrpeterobi #inec #sans #NigeriaDecides2023 #bbn #BBNaija #DonaldTrump https://t.co/RTpqctyQUR", interestingdps eye wey dey cry dey see road coverphoto timeless davido wizkidfc mryakubu mbappe wizkid falz bolaahmedtinubu mrpeterobi inec sans nigeriadecides bbn bbnaija donaldtrump ,[2]
832,"It's good thing there's no #politics in a resource based economy. If there were, the whole thing would #collapse overnight. 

#politicssucks #politicscorrupts #corruption https://t.co/AECQLF8J43",it good thing there no politics in resource based economy if there were the whole thing would collapse overnight politicssucks politicscorrupts corruption ,[2]
833,"#CDDInsights Research Analyst @adekaiyaoja looks at major trends and points from the announced 2023 election results, and what it might mean for Nigeria's politics going forward.

https://t.co/J4vKbanIMW
#NigeriaDecides2023", cddinsights research analyst looks at major trends and points from the announced election results and what it might mean for nigeria politics going forward nigeriadecides,"[0, 2, 3]"
834,"While our mission is following post-election developments across #Nigeria, let's take a look at why the #EU observes elections all over the world 
#NigerianElections2023  #NigeriaDecides2023   
@inecnigeria @inecosunvoice #EU4DemocracyNG 
@EU_FPI @EUinNigeria @eu_eeas https://t.co/tVjpGMiEr2",while our mission is following post election developments across nigeria let take look at why the eu observes elections all over the world nigerianelections nigeriadecides eudemocracyng fpi eeas ,"[2, 3, 4, 5]"
835,"Trump prosecutors cross perilous Rubicon, now face test over credibility, consistency and clock. Recent Chris Christie corruption case could be Achilles heel for Bragg indictment, legal experts warn. | Just The News https://t.co/tMPOCW28up",trump prosecutors cross perilous rubicon now face test over credibility consistency and clock recent chris christie corruption case could be achilles heel for bragg indictment legal experts warn just the news ,"[2, 3]"
836,"Trump prosecutors cross perilous Rubicon, now face test over credibility, consistency and clock. Recent Chris Christie corruption case could be Achilles heel for Bragg indictment, legal experts warn. | Just The News https://t.co/nmUJqnqPPe",trump prosecutors cross perilous rubicon now face test over credibility consistency and clock recent chris christie corruption case could be achilles heel for bragg indictment legal experts warn just the news ,"[2, 3]"
837,Voices: Trump has lived a life of corruption. Accountability is finally on its way https://t.co/tEjVlCjnEQ,voices trump has lived life of corruption accountability is finally on its way ,"[2, 3]"
838,"Trump's Hush Money Saga: Will He Escape the Same Fate as John Edwards? Read more here: https://t.co/l8L6UqDq0h 

#trump #hushmoney #campaignfinance #politics #elections #JohnEdwards #law #legalissues #corruption #government",trump hush money saga will he escape the same fate as john edwards read more here trump hushmoney campaignfinance politics elections johnedwards law legalissues corruption government,[2]
839,"Liptapanlop called for public participation across the implementation of state development projects to stamp out corruption. #Crime #Politics #Thailand #TheNation

https://t.co/Hsc6qSASue https://t.co/fjFzhvu6NO",liptapanlop called for public participation across the implementation of state development projects to stamp out corruption crime politics thailand thenation ,"[2, 3, 4]"
840,"It’s March 31, 2023 at 02:31PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/M34tewtehx",it march at pm stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
841,"Here’s where all the other Trump investigations stand - The Daily Beast. Life time of corruption has finally caught up with him, wrong move going in to politics  https://t.co/1Chc4kgnQs",here where all the other trump investigations stand the daily beast life time of corruption has finally caught up with him wrong move going in to politics ,"[2, 3, 4]"
842,"Everyone realizes it's still up to us to vote out every extreme GOP at the local &amp; federal level
Its the only way to:

Protect women's rights
Kill the racist fillabuster
Ban assault weapons
Get big $$ &amp; corruption out of politics

Start w/ the WI Supreme court election next week",everyone realizes it still up to us to vote out every extreme gop at the local amp federal level its the only way to protect women rights kill the racist fillabuster ban assault weapons get big amp corruption out of politics start the wi supreme court election next week,"[2, 3]"
843,"BECAUSE THIS IS LIBNUT CLOWN WORLD WHERE GOOD IS BAD AND RIGHT IS WRONG...Longtime Los Angeles politician found guilty of corruption to get his son a scholarship, teaching job | Fox News https://t.co/YPy6zjLNTN",because this is libnut clown world where good is bad and right is wrong longtime los angeles politician found guilty of corruption to get his son scholarship teaching job fox news ,"[2, 3, 5]"
844,"So if all the corruption within politics, we’re going after a guy who’s lawyer paid a pornstar to keep quiet about an affair that the pornstar said never happened? 

Seems highly sus.",so if all the corruption within politics we re going after guy who lawyer paid pornstar to keep quiet about an affair that the pornstar said never happened seems highly sus ,"[2, 3]"
845,"From 3rd position-man 🧘‍♂️ to the first one 🙋‍♂️ 
NDI ERI RI
#OpeningMonologue 
#StatiSense #NigeriaDecides2023 https://t.co/OPL4vrlwgE",from rd position man to the first one ndi eri ri openingmonologue statisense nigeriadecides ,"[1, 2]"
846,"If you are NOT scared about a Tinubu Presidency, watch Lagos especially during #NigeriaDecides2023",if you are not scared about tinubu presidency watch lagos especially during nigeriadecides,[2]
847,Our Men on Earth said BAT will be arrested before May 29 not AA or PO. #NigeriaDecides2023 https://t.co/12kvFs1fKv,our men on earth said bat will be arrested before may not aa or po nigeriadecides ,"[1, 2]"
848,"Eric Adams' cuts to city watchdogs could foster corruption, advocates warn | Crain's New York Business https://t.co/Wl9DBu5VwE",eric adams cuts to city watchdogs could foster corruption advocates warn crain new york business ,"[2, 5]"
849,Mark Ridley-Thomas Found Guilty Of Bribery And Conspiracy via @StoltzeFrankly @LAist  https://t.co/ZKoZFygeR1,mark ridley thomas found guilty of bribery and conspiracy via ,[2]
850,"Longtime Los Angeles politician found guilty of corruption to get his son a scholarship, teaching job

https://t.co/V6MEiBsxUE",longtime los angeles politician found guilty of corruption to get his son scholarship teaching job ,"[2, 5]"
851,Longtime LA Politician Mark Ridley-Thomas Convicted in Corruption Trial - NBC Southern California https://t.co/8A6QLgGJfD via @GoogleNews,longtime la politician mark ridley thomas convicted in corruption trial nbc southern california via ,[2]
852,"Longtime Los Angeles politician found guilty of corruption to get his son a scholarship, teaching job https://t.co/QrPlfY3aQ4  - @politic_talks #Politics #Political",longtime los angeles politician found guilty of corruption to get his son scholarship teaching job talks politics political,"[2, 5]"
853,"Dems are now party of CIA + FBI
Prosecutural abuse 
Use DOJ to settle political scores
Oligarchy + corruption
Trump prosecution=travesty of justice
Trump sin = No wars + help working class
Bragg crook of identity politics 
Soros corruption
Dems must be stopped!
Take USA back",dems are now party of cia fbi prosecutural abuse use doj to settle political scores oligarchy corruption trump prosecution travesty of justice trump sin no wars help working class bragg crook of identity politics soros corruption dems must be stopped take usa back,"[2, 3]"
854,"Longtime Los Angeles politician found guilty of corruption to get his son a scholarship, teaching job https://t.co/ktEG4Ub70G via @foxnews",longtime los angeles politician found guilty of corruption to get his son scholarship teaching job via ,"[2, 5]"
855,"When it was launched in 2011, Anna Hazare campaign with its key demand for a Jan Lokpal caught imagination of lakhs of Indians &amp; drew people from all walks of life. Kejriwal is now CM &amp; Sisodia is behind bars. Where are others who were part of Team Hazare? https://t.co/kCZvX0405f",when it was launched in anna hazare campaign with its key demand for jan lokpal caught imagination of lakhs of indians amp drew people from all walks of life kejriwal is now cm amp sisodia is behind bars where are others who were part of team hazare ,"[2, 3, 4]"
856,"A chord is happy when it consist of a major 3rd and a perfect 5th, but when harmony is melancholic and looking for where to resolve it means a minor 3rd and a diminish 5th is present such is Nigeria current situation. #politics #music #NigeriaDecides2023",a chord is happy when it consist of major rd and perfect th but when harmony is melancholic and looking for where to resolve it means minor rd and diminish th is present such is nigeria current situation politics music nigeriadecides,"[2, 3]"
857,"Longtime Los Angeles politician found guilty of corruption to get his son a scholarship, teaching job https://t.co/IJ7pNPj7cI",longtime los angeles politician found guilty of corruption to get his son scholarship teaching job ,"[2, 5]"
858,Are we about to fold our hands while we become a Narcotic State? #NigeriaDecides2023,are we about to fold our hands while we become narcotic state nigeriadecides,[2]
859,"A true mother will not k*ll for the land when evil Messiahs consume themselves in their cults or culture - she'll also build the good land of good men.
@alexottiofr @NgLabour @MTNNG @PeterObi 
#NigeriaDecides2023 #ViolenceAgainstWomen #NigerianElections2023 #ineciscorrupt https://t.co/g9Kp2skY8X",a true mother will not ll for the land when evil messiahs consume themselves in their cults or culture she ll also build the good land of good men nigeriadecides violenceagainstwomen nigerianelections ineciscorrupt ,"[2, 3]"
860,"Last night @EricTrump said in an interview,  his Father never even given as much as a traffic violation, he entered politics, now everyday from last 8 years, a Trump member is issued a subpoena. How is this not GOVERNMENT CORRUPTION?",last night said in an interview his father never even given as much as traffic violation he entered politics now everyday from last years trump member is issued subpoena how is this not government corruption ,"[2, 4]"
861,"It’s March 31, 2023 at 01:30PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/nMOb7MjTMf",it march at pm stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
862,"Because the world is a repetition of events.
&amp; I would love a biographical film of Don Pedro ++ as far as 1890’s to 1960’s.

""When tyranny is the law, revolution is the order.""
—Pedro Albizu Campos 

#GlobalEvents #Protests #Riots #Corruption #Insurrections #Politics #Governments https://t.co/oMbEOSCYZi",because the world is repetition of events amp would love biographical film of don pedro as far as to when tyranny is the law revolution is the order pedro albizu campos globalevents protests riots corruption insurrections politics governments ,"[2, 3]"
863,"Nancy Pelosi roasted over Trump indictment tweet saying he has a right ‘to prove innocence’ at trial

https://t.co/6NgEYARxy8
Sad! A law maker, who doesn’t know the law. If anyone should be indicted, it should be Pelosi for all of her years of corruption.",nancy pelosi roasted over trump indictment tweet saying he has right to prove innocence at trial sad law maker who doesn know the law if anyone should be indicted it should be pelosi for all of her years of corruption ,"[2, 3]"
864,Voices: Trump has lived a life of corruption. Accountability is finally on its way https://t.co/3ISiMlhniK,voices trump has lived life of corruption accountability is finally on its way ,"[2, 3]"
865,Subscribe for FREE to all 11 of our Journals for real news relayed by real and veteran journalists. Here’s my column for the week. Happy Friday! https://t.co/Bx3e3xUCoZ #politics #corruption #shreveport #southwood #louisiana #Trump,subscribe for free to all of our journals for real news relayed by real and veteran journalists here my column for the week happy friday politics corruption shreveport southwood louisiana trump,"[2, 3]"
866,I can really adjust to people personality but what I hate the most is when our views in politics don't match. Especially here in our town where corruption really prevails 😑,i can really adjust to people personality but what hate the most is when our views in politics don match especially here in our town where corruption really prevails ,"[1, 2]"
867,"We need a proper national census

#nigeriadecides2023 #nigerianelections #bolatinubu #peterobi #apc #pdp #nigerianyouth https://t.co/UVSiAQxwcq",we need proper national census nigeriadecides nigerianelections bolatinubu peterobi apc pdp nigerianyouth ,"[2, 3]"
868,It’s time we end this. The lies the corruption all the cover ups that we don’t even know about yet it has to stop. Washington is nothing but politics and deals. No one represents you but thankfully this election you can change that #SwagforHouse #voteforthefuture,it time we end this the lies the corruption all the cover ups that we don even know about yet it has to stop washington is nothing but politics and deals no one represents you but thankfully this election you can change that swagforhouse voteforthefuture,"[2, 4]"
